book_score	book_name	author	comment
7.3	1995-2005夏至未至	郭敬明 	当青春遁入歧途
7.3	像少年啦飞驰	韩寒 	属于少年的日子飞驰而过
7.3	秘密	[澳] 朗达·拜恩 	吸引力法则
7.3	杜拉拉2华年似水	李可 	杜拉拉跳槽记
7.2	人生若只如初见	安意如 	是“何事秋风悲画扇”，不是西风
7.2	货币战争	宋鸿兵 编著 	无所不能的罗斯柴尔德家族
7.2	零下一度	韩寒 	青春期习作
7.1	梦里花落知多少	郭敬明 	只是青春留下的余烬
7.1	从你的全世界路过	张嘉佳 	戳中了现代人的某些柔软之处
7.1	蔡康永的说话之道	蔡康永 著 	会说话的人运气都不会太差
7.1	草样年华	孙睿 	大学生活启蒙读物
7.1	谁动了我的奶酪？	[美] 斯宾塞·约翰逊 	鸡汤文始祖
7	幻城	郭敬明 	如今的小四已经无法评价，往事犹可追
7	左耳	饶雪漫 	当时只道是寻常
6.9	泡沫之夏	明晓溪 	霸道总裁爱上我
6.7	左手倒影，右手年华。	郭敬明 	明媚啊明媚
6.6	会有天使替我爱你	明晓溪 	理想化
6.5	小时代1.0折纸时代	郭敬明 	温习了很多奢侈品品牌名称
6.3	小时代2.0虚铜时代	郭敬明 	淳朴自贡少年十里洋场欲海翻波为哪般
6.2	悲伤逆流成河	郭敬明 	少年不识愁滋味
6.2	摆渡人	[英]克莱儿·麦克福尔 	
